dataset,compressor,op,total_ms,stage_ms,compress_ms,container_ms,io_ms,pressio_call_ms,device_ms,vol_compress_ms,pressio_host_ms,residual_ms,residual_frac
scale-T_cuszp_1e3,cuszp,read,428.3964,0.0000,306.3764,0.0000,25.2604,0.0000,0.0000,306.3764,0.0000,96.7596,0.225865
scale-T_cuszp_1e3,cuszp,write,150.7410,0.0000,32.4853,0.0214,113.5195,4.7803,0.0000,27.7050,4.7803,4.7148,0.031277
scale-T_cuszp_1e3,cuszp,read,386.2885,0.0000,318.9026,0.0000,26.9532,0.0000,0.0000,318.9026,0.0000,40.4326,0.104669
scale-T_cuszp_1e3,cuszp,write,236.3548,0.0000,79.3557,0.0366,152.8735,52.8475,0.0000,26.5082,52.8475,4.0890,0.017300
scale-T_cuszp_1e3,cuszp,read,415.7549,0.0000,316.3874,0.0000,26.2696,0.0000,0.0000,316.3874,0.0000,73.0979,0.175820
scale-T_cuszp_1e3,cuszp,write,230.9602,0.0000,33.9913,0.0228,192.2102,5.6499,0.0000,28.3414,5.6499,4.7360,0.020505
scale-T_cuszp_1e3,cuszp,read,385.5899,0.0000,319.6407,0.0000,26.8749,0.0000,0.0000,319.6407,0.0000,39.0742,0.101336
scale-T_cuszp_1e3,cuszp,write,222.5792,0.0000,87.1114,0.0378,131.2956,58.3839,0.0000,28.7275,58.3839,4.1345,0.018575
scale-T_cuszp_1e3,cuszp,read,439.0343,0.0000,309.5397,0.0000,25.5749,0.0000,0.0000,309.5397,0.0000,103.9197,0.236701
scale-T_cuszp_1e3,cuszp,write,205.5282,0.0000,33.0136,0.0216,167.7663,4.7879,0.0000,28.2257,4.7879,4.7268,0.022998
scale-T_cuszp_1e3,cuszp,read,387.4797,0.0000,320.4189,0.0000,27.0896,0.0000,0.0000,320.4189,0.0000,39.9712,0.103157
scale-T_cuszp_1e3,cuszp,write,285.5977,0.0000,97.4138,0.0378,183.9645,67.6908,0.0000,29.7229,67.6908,4.1816,0.014642
scale-T_cuszp_1e3,cuszp,read,379.2364,0.0000,315.6033,0.0000,25.4533,0.0000,0.0000,315.6033,0.0000,38.1799,0.100676
scale-T_cuszp_1e3,cuszp,write,201.1011,0.0000,33.0335,0.0214,163.2851,4.7874,0.0000,28.2461,4.7874,4.7610,0.023675
scale-T_cuszp_1e3,cuszp,read,388.1435,0.0000,319.8072,0.0000,27.9140,0.0000,0.0000,319.8072,0.0000,40.4222,0.104142
scale-T_cuszp_1e3,cuszp,write,243.8297,0.0000,81.9701,0.0399,157.5099,53.1139,0.0000,28.8562,53.1139,4.3097,0.017675
scale-T_cuszp_1e3,cuszp,read,451.5216,0.0000,320.7978,0.0000,25.3753,0.0000,0.0000,320.7978,0.0000,105.3485,0.233319
scale-T_cuszp_1e3,cuszp,write,197.5188,0.0000,32.5587,0.0185,160.8400,5.0777,0.0000,27.4810,5.0777,4.1017,0.020766
scale-T_cuszp_1e3,cuszp,read,376.3359,0.0000,307.8379,0.0000,27.1842,0.0000,0.0000,307.8379,0.0000,41.3138,0.109779
scale-T_cuszp_1e3,cuszp,write,238.5784,0.0000,79.8683,0.0367,154.8378,53.5336,0.0000,26.3347,53.5336,3.8356,0.016077
scale-T_cuszp_1e3,cuszp,read,377.8851,0.0000,313.6772,0.0000,26.2880,0.0000,0.0000,313.6772,0.0000,37.9199,0.100348
nyx_baryon_cuszp_1e3,cuszp,write,260.1870,0.0000,79.8013,0.0174,168.1373,5.9470,0.0000,73.8543,5.9470,12.2309,0.047008
nyx_baryon_cuszp_1e3,cuszp,read,432.4718,0.0000,315.2954,0.0000,72.7008,0.0000,0.0000,315.2954,0.0000,44.4755,0.102840
nyx_baryon_cuszp_1e3,cuszp,write,309.2778,0.0000,125.8472,0.0277,172.2609,53.2053,0.0000,72.6419,53.2053,11.1420,0.036026
nyx_baryon_cuszp_1e3,cuszp,read,434.7103,0.0000,315.9581,0.0000,75.2622,0.0000,0.0000,315.9581,0.0000,43.4900,0.100044
nyx_baryon_cuszp_1e3,cuszp,write,257.4218,0.0000,83.3436,0.0157,161.6716,9.0417,0.0000,74.3019,9.0417,12.3909,0.048135
nyx_baryon_cuszp_1e3,cuszp,read,495.0851,0.0000,311.3003,0.0000,72.1029,0.0000,0.0000,311.3003,0.0000,111.6819,0.225581
nyx_baryon_cuszp_1e3,cuszp,write,380.5657,0.0000,124.8393,0.0282,244.6033,51.4980,0.0000,73.3413,51.4980,11.0949,0.029154
nyx_baryon_cuszp_1e3,cuszp,read,426.5293,0.0000,310.5924,0.0000,72.5712,0.0000,0.0000,310.5924,0.0000,43.3658,0.101671
nyx_baryon_cuszp_1e3,cuszp,write,266.2632,0.0000,78.2827,0.0152,175.6014,5.9216,0.0000,72.3611,5.9216,12.3639,0.046435
nyx_baryon_cuszp_1e3,cuszp,read,427.0816,0.0000,309.4486,0.0000,73.4414,0.0000,0.0000,309.4486,0.0000,44.1916,0.103473
nyx_baryon_cuszp_1e3,cuszp,write,300.2994,0.0000,124.5794,0.0268,164.5617,51.8614,0.0000,72.7180,51.8614,11.1314,0.037068
nyx_baryon_cuszp_1e3,cuszp,read,426.3866,0.0000,309.2427,0.0000,72.4750,0.0000,0.0000,309.2427,0.0000,44.6688,0.104761
nyx_baryon_cuszp_1e3,cuszp,write,251.0395,0.0000,79.8272,0.0144,158.7660,5.9264,0.0000,73.9008,5.9264,12.4319,0.049522
nyx_baryon_cuszp_1e3,cuszp,read,419.7171,0.0000,304.1154,0.0000,70.6773,0.0000,0.0000,304.1154,0.0000,44.9245,0.107035
nyx_baryon_cuszp_1e3,cuszp,write,320.8359,0.0000,131.8881,0.0281,177.6075,52.2134,0.0000,79.6747,52.2134,11.3123,0.035259
nyx_baryon_cuszp_1e3,cuszp,read,422.5961,0.0000,306.5520,0.0000,72.1671,0.0000,0.0000,306.5520,0.0000,43.8770,0.103827
nyx_baryon_cuszp_1e3,cuszp,write,299.9854,0.0000,80.6482,0.0163,206.8320,5.9791,0.0000,74.6691,5.9791,12.4889,0.041632
nyx_baryon_cuszp_1e3,cuszp,read,501.2787,0.0000,317.1509,0.0000,72.5989,0.0000,0.0000,317.1509,0.0000,111.5289,0.222489
nyx_baryon_cuszp_1e3,cuszp,write,279.3772,0.0000,126.2165,0.0285,142.0234,52.1900,0.0000,74.0265,52.1900,11.1088,0.039763
nyx_baryon_cuszp_1e3,cuszp,read,412.8132,0.0000,299.6050,0.0000,68.9517,0.0000,0.0000,299.6050,0.0000,44.2565,0.107207
nyx_baryon_cuszp_1e3,cuszp,write,250.8042,0.0000,87.3077,0.0159,150.9381,11.2307,0.0000,76.0770,11.2307,12.5426,0.050009
nyx_baryon_cuszp_1e3,cuszp,read,431.7562,0.0000,313.5502,0.0000,72.9386,0.0000,0.0000,313.5502,0.0000,45.2674,0.104845
nyx_baryon_cuszp_1e3,cuszp,write,280.9117,0.0000,124.7220,0.0277,145.0098,51.8960,0.0000,72.8260,51.8960,11.1522,0.039700
nyx_baryon_cuszp_1e3,cuszp,read,428.2867,0.0000,312.0699,0.0000,71.9270,0.0000,0.0000,312.0699,0.0000,44.2898,0.103412
nyx_baryon_cuszp_1e3,cuszp,write,225.2889,0.0000,80.6003,0.0175,132.1469,5.9801,0.0000,74.6202,5.9801,12.5242,0.055592
nyx_baryon_cuszp_1e3,cuszp,read,439.5426,0.0000,315.8652,0.0000,78.4778,0.0000,0.0000,315.8652,0.0000,45.1995,0.102833
nyx_baryon_cuszp_1e3,cuszp,write,294.7747,0.0000,124.7968,0.0281,158.6335,52.4436,0.0000,72.3533,52.4436,11.3163,0.038390
nyx_baryon_cuszp_1e3,cuszp,read,428.5941,0.0000,313.4877,0.0000,70.9873,0.0000,0.0000,313.4877,0.0000,44.1192,0.102939
nyx_baryon_cuszp_1e3,cuszp,write,285.2422,0.0000,78.4061,0.0147,195.8154,6.2585,0.0000,72.1475,6.2585,11.0060,0.038585
nyx_baryon_cuszp_1e3,cuszp,read,419.6589,0.0000,301.5137,0.0000,73.3593,0.0000,0.0000,301.5137,0.0000,44.7859,0.106720
nyx_baryon_cuszp_1e3,cuszp,write,301.9297,0.0000,127.2318,0.0277,163.9408,53.6658,0.0000,73.5660,53.6658,10.7294,0.035536
nyx_baryon_cuszp_1e3,cuszp,read,434.0450,0.0000,312.6193,0.0000,73.2046,0.0000,0.0000,312.6193,0.0000,48.2211,0.111097
